index,Order ID,Date,Status,Fulfillment,Sales Channel ,ship-service-level,SKU,Category,Size,ASIN,Courier Status,Qty,Currency,Amount,ship-city,ship-state,ship-postal-code,promotion-ids,fulfilled-by
12,403-5183625-9715598,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,NWM01-M,Top,M,B09G3B6MV2,Unshipped,2,INR,744.29,PURULIA,WEST BENGAL,424812,FALSE,Easy Ship
13,403-6824616-6459086,05-14-22,Shipped - Delivered to Buyer,Amazon,Amazon.in,Standard,JNE3394-KR-XXL,Bottom,XXL,B09G3B6MV2,Unshipped,2,INR,314.87,SALEM,TAMIL NADU,643241,FALSE,Amazon
14,403-5256250-3481798,04-20-22,Shipped,Amazon,Amazon.in,Expedited,JNE3733-KR-L,kurta,L,B082W9XY8F,Shipped,1,INR,1279.5,GUNTUR,ANDHRA PRADESH,634525,FALSE,Amazon
15,403-7886443-1539134,04-05-22,Shipped,Merchant,Amazon.in,Standard,J0003-SET-L,Saree,L,B09G3B6MV2,Shipped,2,INR,744.29,KANPUR,UTTAR PRADESH,582503,FALSE,Easy Ship
16,403-4252053-3476136,05-08-22,Shipped,Amazon,Amazon.in,Expedited,JNE3405-KR-XS,Saree,XS,B08LWWYMDX,Shipped,2,INR,314.87,GUNTUR,ANDHRA PRADESH,686100,FALSE,Amazon
17,403-3571277-2250590,04-16-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3797-KR-M,Ethnic Dress,M,B09G3B6MV2,Cancelled,0,INR,0.0,KANPUR,UTTAR PRADESH,669600,IN Core Free Shipping,Amazon
18,403-5739584-2870581,05-13-22,Cancelled,Amazon,Amazon.in,Expedited,NWM01-M,Top,M,B09G3B6MV2,Cancelled,0,INR,0.0,CHIRALA,ANDHRA PRADESH,553672,IN Core Free Shipping,Amazon
19,403-5256192-5543209,05-10-22,Shipped,Merchant,Amazon.in,Expedited,JNE3733-KR-M,Set,M,B08LWWYMDX,Shipped,1,INR,453.67,PUNE,MAHARASHTRA,686935,FALSE,Easy Ship
20,403-6742545-8204713,05-12-22,Cancelled,Amazon,Amazon.in,Standard,J0003-SET-L,kurta,L,B082W9XY8F,Cancelled,0,INR,0.0,KALYAN,MAHARASHTRA,698471,FALSE,Amazon
21,403-6355775-7584110,05-04-22,Cancelled,Merchant,Amazon.in,Expedited,JNE3797-KR-M,Ethnic Dress,M,B082W9XY8F,Cancelled,0,INR,0.0,LUCKNOW,UTTAR PRADESH,435041,FALSE,Easy Ship
22,403-3886818-5315021,04-04-22,Cancelled,Amazon,Amazon.in,Standard,JNE3797-KR-XXL,Set,XXL,B09G3B6MV2,Cancelled,0,INR,0.0,HUBLI,KARNATAKA,573275,IN Core Free Shipping,Amazon
23,403-5430386-5444302,05-15-22,Shipped,Merchant,Amazon.in,Expedited,JNE3733-KR-XL,Ethnic Dress,XL,B082W9XY8F,Unshipped,3,INR,314.87,KOLKATA,WEST BENGAL,437066,FALSE,Easy Ship
24,403-8711320-2878386,05-12-22,Shipped,Amazon,Amazon.in,Standard,J0003-SET-XL,Saree,XL,B082W9XY8F,Shipped,2,INR,314.87,KOLKATA,WEST BENGAL,479838,IN Core Free Shipping,Amazon
25,403-6706335-3207206,04-29-22,Shipped - Delivered to Buyer,Amazon,Amazon.in,Standard,NWM01-L,Western Dress,L,B09W3UXLHF,Unshipped,3,INR,314.87,GUNTUR,ANDHRA PRADESH,413678,FALSE,Amazon
26,403-7720706-4764508,04-23-22,Cancelled,Amazon,Amazon.in,Standard,J0003-SET-XL,Western Dress,XL,B09W3UXLHF,Cancelled,0,INR,0.0,BENGALURU,KARNATAKA,603769,FALSE,Amazon
27,403-7341155-1510388,05-03-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3797-KR-3XL,kurta,3XL,B08LWWYMDX,Cancelled,0,INR,0.0,NELLORE,ANDHRA PRADESH,463147,IN Core Free Shipping,Amazon
28,403-1478188-6986339,05-09-22,Shipped - Delivered to Buyer,Amazon,Amazon.in,Standard,JNE3733-KR-L,Bottom,L,B09G3B6MV2,Unshipped,1,INR,579.48,SALEM,TAMIL NADU,554106,FALSE,Amazon
29,403-5117585-5644464,05-30-22,Shipped,Merchant,Amazon.in,Standard,NWM01-L,Set,L,B09W3UXLHF,Unshipped,1,INR,314.87,NELLORE,ANDHRA PRADESH,514358,IN Core Free Shipping,Easy Ship
30,403-3835120-9458328,04-27-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Expedited,NWM01-S,Set,S,B08LWWYMDX,Unshipped,3,INR,314.87,KOLKATA,WEST BENGAL,560511,IN Core Free Shipping,Easy Ship
31,403-5921177-3632228,04-28-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3733-KR-XS,Western Dress,XS,B09G3B6MV2,Cancelled,0,INR,0.0,MUMBAI,MAHARASHTRA,563726,IN Core Free Shipping,Amazon
32,403-2765379-4213985,04-18-22,Shipped,Merchant,Amazon.in,Standard,NWM01-XS,Blouse,XS,B09G3B6MV2,Unshipped,3,INR,579.48,PURULIA,WEST BENGAL,417780,FALSE,Easy Ship
33,403-2603996-2311957,05-10-22,Shipped,Amazon,Amazon.in,Standard,JNE3797-KR-XS,Saree,XS,B082W9XY8F,Unshipped,2,INR,1279.5,HUBLI,KARNATAKA,684959,IN Core Free Shipping,Amazon
34,403-6439552-5864993,04-02-22,Cancelled,Amazon,Amazon.in,Standard,JNE3394-KR-S,Bottom,S,B098VXG22J,Cancelled,0,INR,0.0,NELLORE,ANDHRA PRADESH,575874,FALSE,Amazon
35,403-2171092-8393125,04-02-22,Cancelled,Amazon,Amazon.in,Standard,JNE3394-KR-XS,Top,XS,B098VXG22J,Cancelled,0,INR,0.0,MANGALURU,KARNATAKA,454102,IN Core Free Shipping,Amazon
36,403-9226679-5012410,05-04-22,Cancelled,Merchant,Amazon.in,Expedited,JNE3405-KR-S,kurta,S,B09G3B6MV2,Cancelled,0,INR,0.0,LUCKNOW,UTTAR PRADESH,526775,FALSE,Easy Ship
37,403-1666048-1437800,05-19-22,Cancelled,Merchant,Amazon.in,Standard,JNE3405-KR-M,Set,M,B082W9XY8F,Cancelled,0,INR,0.0,CHIRALA,ANDHRA PRADESH,571481,FALSE,Easy Ship
38,403-1170241-7297147,04-08-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Expedited,JNE3733-KR-M,Bottom,M,B082W9XY8F,Unshipped,2,INR,744.29,MUMBAI,MAHARASHTRA,487178,IN Core Free Shipping,Easy Ship
39,403-2824833-6086135,05-19-22,Shipped,Merchant,Amazon.in,Standard,JNE3797-KR-L,Set,L,B098VXG22J,Unshipped,2,INR,453.67,VIJAYAWADA,ANDHRA PRADESH,526858,IN Core Free Shipping,Easy Ship
40,403-4681337-8616881,04-12-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Expedited,JNE3405-KR-3XL,Saree,3XL,B08LWWYMDX,Shipped,3,INR,1058.5,GUNTUR,ANDHRA PRADESH,655119,IN Core Free Shipping,Easy Ship
41,403-2947662-1660176,04-19-22,Cancelled,Merchant,Amazon.in,Expedited,JNE3394-KR-S,Top,S,B09W3UXLHF,Cancelled,0,INR,0.0,KOLKATA,WEST BENGAL,505192,IN Core Free Shipping,Easy Ship
42,403-4970440-1861426,05-26-22,Shipped,Amazon,Amazon.in,Standard,JNE3797-KR-XXL,Saree,XXL,B09W3UXLHF,Shipped,3,INR,1058.5,BENGALURU,KARNATAKA,449312,FALSE,Amazon
43,403-5296665-6632412,05-02-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Expedited,NWM01-M,Bottom,M,B09G3B6MV2,Unshipped,1,INR,453.67,LUCKNOW,UTTAR PRADESH,692333,IN Core Free Shipping,Easy Ship
44,403-9745382-9101472,05-07-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3733-KR-3XL,Set,3XL,B082W9XY8F,Cancelled,0,INR,0.0,LUCKNOW,UTTAR PRADESH,495091,IN Core Free Shipping,Amazon
45,403-7683468-5420787,04-09-22,Cancelled,Merchant,Amazon.in,Expedited,J0003-SET-S,Set,S,B09G3B6MV2,Cancelled,0,INR,0.0,SALEM,TAMIL NADU,679388,IN Core Free Shipping,Easy Ship
46,403-4867362-5008920,04-04-22,Cancelled,Merchant,Amazon.in,Standard,J0003-SET-S,Set,S,B098VXG22J,Cancelled,0,INR,0.0,MADURAI,TAMIL NADU,496767,IN Core Free Shipping,Easy Ship
47,403-4016159-5642281,05-19-22,Cancelled,Amazon,Amazon.in,Expedited,NWM01-M,Top,M,B082W9XY8F,Cancelled,0,INR,0.0,HUBLI,KARNATAKA,651755,FALSE,Amazon
48,403-6782734-2312367,04-13-22,Shipped,Amazon,Amazon.in,Expedited,JNE3797-KR-M,Ethnic Dress,M,B09W3UXLHF,Shipped,3,INR,1279.5,NAGPUR,MAHARASHTRA,631584,IN Core Free Shipping,Amazon
49,403-9544351-7793766,05-15-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Expedited,JNE3733-KR-3XL,Saree,3XL,B09G3B6MV2,Unshipped,2,INR,453.67,SILIGURI,WEST BENGAL,437545,FALSE,Easy Ship
50,403-2990082-2629033,05-10-22,Shipped,Amazon,Amazon.in,Expedited,J0003-SET-XL,kurta,XL,B09G3B6MV2,Shipped,1,INR,1279.5,KALYAN,MAHARASHTRA,601979,FALSE,Amazon
51,403-7153201-2227199,05-09-22,Shipped,Amazon,Amazon.in,Standard,J0003-SET-3XL,Western Dress,3XL,B09W3UXLHF,Unshipped,2,INR,314.87,HUBLI,KARNATAKA,650353,IN Core Free Shipping,Amazon
52,403-4395378-8185804,04-01-22,Shipped - Delivered to Buyer,Amazon,Amazon.in,Expedited,NWM01-XS,Ethnic Dress,XS,B09G3B6MV2,Unshipped,2,INR,744.29,THANE,MAHARASHTRA,598266,IN Core Free Shipping,Amazon
53,403-7365391-2234339,04-15-22,Shipped,Amazon,Amazon.in,Expedited,JNE3394-KR-XL,Top,XL,B082W9XY8F,Shipped,3,INR,744.29,MADURAI,TAMIL NADU,679656,IN Core Free Shipping,Amazon
54,403-3169348-1916915,05-05-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Expedited,JNE3733-KR-S,Ethnic Dress,S,B082W9XY8F,Shipped,2,INR,453.67,GHAZIABAD,UTTAR PRADESH,590354,FALSE,Easy Ship
55,403-7433056-8846855,04-28-22,Shipped - Delivered to Buyer,Amazon,Amazon.in,Expedited,JNE3405-KR-XS,Bottom,XS,B098VXG22J,Shipped,1,INR,579.48,SILIGURI,WEST BENGAL,460512,IN Core Free Shipping,Amazon
56,403-8991851-6614099,05-13-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3797-KR-XXL,Western Dress,XXL,B082W9XY8F,Unshipped,1,INR,453.67,NAGPUR,MAHARASHTRA,465198,FALSE,Easy Ship
57,403-2731203-6414295,05-19-22,Cancelled,Amazon,Amazon.in,Standard,JNE3405-KR-S,Blouse,S,B098VXG22J,Cancelled,0,INR,0.0,SILIGURI,WEST BENGAL,695815,IN Core Free Shipping,Amazon
58,403-4969217-7227107,05-02-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,NWM01-L,Ethnic Dress,L,B09W3UXLHF,Unshipped,1,INR,453.67,MADURAI,TAMIL NADU,677357,FALSE,Easy Ship
59,403-8607240-6254821,04-13-22,Cancelled,Merchant,Amazon.in,Standard,JNE3797-KR-M,Western Dress,M,B08LWWYMDX,Cancelled,0,INR,0.0,VIJAYAWADA,ANDHRA PRADESH,552460,IN Core Free Shipping,Easy Ship
60,403-6615185-6329224,05-11-22,Shipped,Amazon,Amazon.in,Standard,JNE3797-KR-XS,Top,XS,B08LWWYMDX,Unshipped,2,INR,453.67,MUMBAI,MAHARASHTRA,400785,IN Core Free Shipping,Amazon
61,403-8851047-3189880,05-14-22,Shipped - Delivered to Buyer,Amazon,Amazon.in,Standard,JNE3733-KR-3XL,Ethnic Dress,3XL,B09W3UXLHF,Shipped,3,INR,1279.5,MALDA,WEST BENGAL,461813,IN Core Free Shipping,Amazon
62,403-1372410-5184614,04-20-22,Shipped,Merchant,Amazon.in,Expedited,J0003-SET-M,Blouse,M,B098VXG22J,Shipped,3,INR,1058.5,GHAZIABAD,UTTAR PRADESH,561282,IN Core Free Shipping,Easy Ship
63,403-9610747-2511606,04-29-22,Shipped - Delivered to Buyer,Amazon,Amazon.in,Standard,JNE3394-KR-L,Blouse,L,B09W3UXLHF,Shipped,3,INR,314.87,VISAKHAPATNAM,ANDHRA PRADESH,626889,IN Core Free Shipping,Amazon
64,403-9978965-2095938,05-10-22,Cancelled,Merchant,Amazon.in,Standard,JNE3394-KR-S,Set,S,B08LWWYMDX,Cancelled,0,INR,0.0,AGRA,UTTAR PRADESH,607833,FALSE,Easy Ship
65,403-7786994-6590508,04-04-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Expedited,J0003-SET-M,Ethnic Dress,M,B08LWWYMDX,Unshipped,1,INR,453.67,THANE,MAHARASHTRA,412977,FALSE,Easy Ship
66,403-3193305-6033512,04-02-22,Shipped,Amazon,Amazon.in,Expedited,J0003-SET-M,Ethnic Dress,M,B09W3UXLHF,Shipped,1,INR,1279.5,KALYAN,MAHARASHTRA,478243,FALSE,Amazon
67,403-4742825-5721428,05-15-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Expedited,JNE3405-KR-3XL,Blouse,3XL,B09W3UXLHF,Unshipped,2,INR,1058.5,MALDA,WEST BENGAL,415686,IN Core Free Shipping,Easy Ship
68,403-3415584-7848051,04-07-22,Shipped,Merchant,Amazon.in,Expedited,J0003-SET-XXL,Ethnic Dress,XXL,B098VXG22J,Shipped,3,INR,1279.5,SALEM,TAMIL NADU,676305,IN Core Free Shipping,Easy Ship
69,403-3818778-4412482,05-18-22,Shipped - Delivered to Buyer,Amazon,Amazon.in,Expedited,JNE3405-KR-S,Bottom,S,B082W9XY8F,Shipped,1,INR,1279.5,MADURAI,TAMIL NADU,682046,IN Core Free Shipping,Amazon
70,403-2526775-7547596,05-15-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Expedited,JNE3733-KR-M,kurta,M,B09W3UXLHF,Unshipped,1,INR,314.87,KANPUR,UTTAR PRADESH,527750,FALSE,Easy Ship
71,403-6872124-7551048,04-29-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Expedited,JNE3797-KR-XS,Western Dress,XS,B09W3UXLHF,Shipped,1,INR,453.67,SILIGURI,WEST BENGAL,657929,IN Core Free Shipping,Easy Ship
72,403-5396623-8511634,05-15-22,Cancelled,Merchant,Amazon.in,Standard,JNE3733-KR-M,kurta,M,B08LWWYMDX,Cancelled,0,INR,0.0,KALYAN,MAHARASHTRA,585013,IN Core Free Shipping,Easy Ship
73,403-4250765-3857329,04-10-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3797-KR-XL,Bottom,XL,B09G3B6MV2,Cancelled,0,INR,0.0,SALEM,TAMIL NADU,566424,IN Core Free Shipping,Amazon
74,403-7692498-1239200,05-26-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3405-KR-XL,Ethnic Dress,XL,B082W9XY8F,Shipped,1,INR,453.67,BENGALURU,KARNATAKA,615452,IN Core Free Shipping,Easy Ship
75,403-7802478-6442848,05-26-22,Cancelled,Merchant,Amazon.in,Expedited,JNE3394-KR-XL,kurta,XL,B082W9XY8F,Cancelled,0,INR,0.0,KANPUR,UTTAR PRADESH,592085,FALSE,Easy Ship
76,403-1071279-2901172,04-14-22,Shipped,Merchant,Amazon.in,Standard,J0003-SET-3XL,Saree,3XL,B09G3B6MV2,Shipped,1,INR,1058.5,CHIRALA,ANDHRA PRADESH,584709,IN Core Free Shipping,Easy Ship
77,403-2782498-9576597,05-07-22,Cancelled,Merchant,Amazon.in,Expedited,JNE3797-KR-XXL,Blouse,XXL,B08LWWYMDX,Cancelled,0,INR,0.0,COIMBATORE,TAMIL NADU,540954,IN Core Free Shipping,Easy Ship
78,403-6993151-5537258,05-01-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3797-KR-3XL,Western Dress,3XL,B098VXG22J,Shipped,2,INR,744.29,AGRA,UTTAR PRADESH,473353,IN Core Free Shipping,Easy Ship
79,403-1287379-8814263,05-09-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0003-SET-M,Saree,M,B098VXG22J,Unshipped,2,INR,744.29,VIJAYAWADA,ANDHRA PRADESH,603266,FALSE,Easy Ship
80,403-6753565-8948766,05-15-22,Cancelled,Amazon,Amazon.in,Standard,JNE3405-KR-3XL,kurta,3XL,B09G3B6MV2,Cancelled,0,INR,0.0,PURULIA,WEST BENGAL,455614,IN Core Free Shipping,Amazon
81,403-2770626-9487062,05-24-22,Shipped - Delivered to Buyer,Amazon,Amazon.in,Standard,JNE3394-KR-XL,Saree,XL,B08LWWYMDX,Unshipped,2,INR,1058.5,BENGALURU,KARNATAKA,474655,FALSE,Amazon
82,403-7353986-5199619,05-17-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3394-KR-S,Set,S,B08LWWYMDX,Shipped,3,INR,314.87,PUNE,MAHARASHTRA,564271,FALSE,Easy Ship
83,403-1315057-8929275,05-06-22,Shipped,Merchant,Amazon.in,Standard,NWM01-S,Ethnic Dress,S,B09G3B6MV2,Shipped,1,INR,1058.5,HUBLI,KARNATAKA,575923,FALSE,Easy Ship
84,403-7098878-4246990,04-23-22,Shipped,Merchant,Amazon.in,Expedited,NWM01-XXL,Top,XXL,B09G3B6MV2,Unshipped,1,INR,579.48,MYSURU,KARNATAKA,691577,IN Core Free Shipping,Easy Ship
85,403-7109160-9858320,05-21-22,Cancelled,Merchant,Amazon.in,Expedited,NWM01-XS,kurta,XS,B09G3B6MV2,Cancelled,0,INR,0.0,MADURAI,TAMIL NADU,611779,FALSE,Easy Ship
86,403-2707726-7318137,04-29-22,Shipped,Merchant,Amazon.in,Expedited,JNE3405-KR-XS,Bottom,XS,B09W3UXLHF,Unshipped,2,INR,744.29,CHENNAI,TAMIL NADU,674971,IN Core Free Shipping,Easy Ship
87,403-2523576-9928957,05-15-22,Cancelled,Merchant,Amazon.in,Expedited,JNE3797-KR-3XL,Blouse,3XL,B09G3B6MV2,Cancelled,0,INR,0.0,VIJAYAWADA,ANDHRA PRADESH,579480,FALSE,Easy Ship
88,403-3354288-4867737,05-30-22,Shipped,Amazon,Amazon.in,Standard,JNE3797-KR-XS,Set,XS,B08LWWYMDX,Shipped,3,INR,314.87,KALYAN,MAHARASHTRA,611871,FALSE,Amazon
89,403-4724611-3491260,04-07-22,Shipped - Delivered to Buyer,Amazon,Amazon.in,Expedited,J0003-SET-M,Set,M,B08LWWYMDX,Unshipped,1,INR,453.67,KALYAN,MAHARASHTRA,614476,IN Core Free Shipping,Amazon
90,403-6124217-5517905,05-19-22,Shipped - Delivered to Buyer,Amazon,Amazon.in,Expedited,JNE3394-KR-M,Saree,M,B09G3B6MV2,Shipped,2,INR,579.48,NAGPUR,MAHARASHTRA,608168,IN Core Free Shipping,Amazon
91,403-4972868-6260330,05-13-22,Cancelled,Merchant,Amazon.in,Expedited,JNE3394-KR-S,Bottom,S,B098VXG22J,Cancelled,0,INR,0.0,HUBLI,KARNATAKA,520949,FALSE,Easy Ship
92,403-8498764-8651938,04-12-22,Cancelled,Merchant,Amazon.in,Expedited,JNE3797-KR-L,Set,L,B098VXG22J,Cancelled,0,INR,0.0,AGRA,UTTAR PRADESH,543325,FALSE,Easy Ship
93,403-3494745-9234323,04-04-22,Shipped - Delivered to Buyer,Amazon,Amazon.in,Expedited,JNE3405-KR-XS,Top,XS,B08LWWYMDX,Unshipped,1,INR,1058.5,KALYAN,MAHARASHTRA,596154,IN Core Free Shipping,Amazon
94,403-1120276-7707070,05-01-22,Cancelled,Amazon,Amazon.in,Standard,JNE3797-KR-XS,Ethnic Dress,XS,B09W3UXLHF,Cancelled,0,INR,0.0,PUNE,MAHARASHTRA,407182,IN Core Free Shipping,Amazon
95,403-8755486-6685236,05-24-22,Cancelled,Merchant,Amazon.in,Standard,JNE3797-KR-XS,Top,XS,B098VXG22J,Cancelled,0,INR,0.0,Noida,UTTAR PRADESH,585600,FALSE,Easy Ship
96,403-6399219-1164442,04-09-22,Shipped,Merchant,Amazon.in,Standard,J0003-SET-S,Bottom,S,B09W3UXLHF,Unshipped,1,INR,579.48,GHAZIABAD,UTTAR PRADESH,443180,IN Core Free Shipping,Easy Ship
97,403-7107274-9449995,04-17-22,Shipped,Merchant,Amazon.in,Standard,JNE3733-KR-XL,Blouse,XL,B082W9XY8F,Unshipped,2,INR,579.48,MALDA,WEST BENGAL,568898,FALSE,Easy Ship
98,403-2128630-7378664,05-01-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3797-KR-XXL,Bottom,XXL,B09W3UXLHF,Cancelled,0,INR,0.0,GHAZIABAD,UTTAR PRADESH,449592,FALSE,Amazon
99,403-2048376-5547803,04-19-22,Shipped - Delivered to Buyer,Amazon,Amazon.in,Standard,JNE3797-KR-3XL,Ethnic Dress,3XL,B098VXG22J,Shipped,3,INR,744.29,SILIGURI,WEST BENGAL,602176,FALSE,Amazon
100,403-1520435-1335145,05-06-22,Cancelled,Amazon,Amazon.in,Standard,J0003-SET-S,Western Dress,S,B08LWWYMDX,Cancelled,0,INR,0.0,MUMBAI,MAHARASHTRA,413256,IN Core Free Shipping,Amazon
101,403-2477544-9810338,04-12-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Expedited,NWM01-XXL,Set,XXL,B098VXG22J,Shipped,2,INR,314.87,PURULIA,WEST BENGAL,544571,IN Core Free Shipping,Easy Ship
102,403-3383990-4669744,05-05-22,Shipped,Amazon,Amazon.in,Standard,JNE3394-KR-XL,Set,XL,B09W3UXLHF,Shipped,1,INR,314.87,COIMBATORE,TAMIL NADU,458004,IN Core Free Shipping,Amazon
103,403-5130723-5810067,05-17-22,Shipped,Merchant,Amazon.in,Standard,JNE3733-KR-S,Top,S,B082W9XY8F,Shipped,2,INR,744.29,MADURAI,TAMIL NADU,443003,IN Core Free Shipping,Easy Ship
104,403-6998589-2525558,05-10-22,Shipped - Delivered to Buyer,Amazon,Amazon.in,Standard,JNE3797-KR-XL,Set,XL,B09G3B6MV2,Unshipped,1,INR,453.67,MUMBAI,MAHARASHTRA,505304,FALSE,Amazon
105,403-7034216-8750019,05-17-22,Cancelled,Merchant,Amazon.in,Standard,JNE3797-KR-M,kurta,M,B08LWWYMDX,Cancelled,0,INR,0.0,PURULIA,WEST BENGAL,557625,FALSE,Easy Ship
106,403-5441824-8187821,05-25-22,Shipped,Amazon,Amazon.in,Expedited,JNE3797-KR-3XL,Bottom,3XL,B082W9XY8F,Shipped,1,INR,453.67,MYSURU,KARNATAKA,552245,IN Core Free Shipping,Amazon
107,403-3333881-9408349,05-20-22,Cancelled,Amazon,Amazon.in,Standard,J0003-SET-XS,Top,XS,B09G3B6MV2,Cancelled,0,INR,0.0,GUNTUR,ANDHRA PRADESH,405913,FALSE,Amazon
108,403-6505040-5278722,05-17-22,Cancelled,Amazon,Amazon.in,Standard,NWM01-XL,Ethnic Dress,XL,B08LWWYMDX,Cancelled,0,INR,0.0,MYSURU,KARNATAKA,573352,FALSE,Amazon
109,403-4658605-7551965,05-10-22,Shipped,Amazon,Amazon.in,Expedited,J0003-SET-XXL,Ethnic Dress,XXL,B09G3B6MV2,Shipped,3,INR,1058.5,MALDA,WEST BENGAL,622473,FALSE,Amazon
110,403-1019980-3979926,04-12-22,Shipped,Merchant,Amazon.in,Standard,JNE3797-KR-XL,Saree,XL,B082W9XY8F,Unshipped,1,INR,744.29,MADURAI,TAMIL NADU,489224,FALSE,Easy Ship
111,403-8860517-7303607,05-22-22,Cancelled,Amazon,Amazon.in,Expedited,J0003-SET-XS,Saree,XS,B098VXG22J,Cancelled,0,INR,0.0,PURULIA,WEST BENGAL,444381,IN Core Free Shipping,Amazon
112,403-6875740-9587949,05-18-22,Cancelled,Merchant,Amazon.in,Standard,J0003-SET-S,Blouse,S,B09W3UXLHF,Cancelled,0,INR,0.0,Noida,UTTAR PRADESH,572666,IN Core Free Shipping,Easy Ship
113,403-2066683-6180258,04-08-22,Cancelled,Amazon,Amazon.in,Expedited,NWM01-M,Set,M,B098VXG22J,Cancelled,0,INR,0.0,KANPUR,UTTAR PRADESH,640631,FALSE,Amazon
114,403-2861446-7011029,04-12-22,Shipped,Amazon,Amazon.in,Standard,JNE3405-KR-M,Top,M,B09W3UXLHF,Unshipped,1,INR,744.29,PURULIA,WEST BENGAL,525013,IN Core Free Shipping,Amazon
115,403-9069710-7723169,04-05-22,Shipped - Delivered to Buyer,Amazon,Amazon.in,Expedited,NWM01-S,Top,S,B09G3B6MV2,Shipped,2,INR,1279.5,SILIGURI,WEST BENGAL,424604,FALSE,Amazon
